"id";"nickname";"birth";"gender";"tee";"address";"seniority";"recent";"average";"score";"dexterity"
12;"SamOO";3;1;1;"新北市板橋區";1;"2022-10-11";"一個禮拜";20;1
13;"CEO1214";0;0;0;"";0;"";"";0;1
14;"Guest.1";0;0;0;"";0;"";"";0;1
15;"Guest.2";0;0;0;"";0;"";"";0;1
16;"Guest.3";0;0;0;"";0;"";"";0;1
17;"Guest.4";0;0;0;"";0;"";"";0;1
18;"Paul";0;0;0;"";0;"";"";0;1
19;"SamOO8";3;1;1;"新北市板橋區";1;"2022-10-11";"一個禮拜";20;1
28;"SamOO9";3;1;1;"新北市板橋區";1;"2022-10-11";"一個禮拜";20;1
29;"SamOO10";3;1;1;"新北市板橋區";1;"2022-10-11";"一個禮拜";20;1
30;"test20230103";3;1;1;"Taipei";3;"2022-12-30";"2weeks";101;1
31;"epe2022";3;1;1;"Taipei";3;"2022-12-30";"2 weeks";101;1
34;"epe1993";3;1;1;"Taipei";3;"2022-12-30";"2 weeks";101;1
35;"epe1994";3;1;2;"新北市";0;"2022-12-21";"1";111;2
36;"Qab1234";3;1;2;"新北市";0;"2022-12-21";"1";111;2
37;"QAB19";1;0;2;"臺南市";4;"2023-01-01";"2";111;2
38;"epe1996";3;1;2;"新北市";0;"2022-12-21";"1";111;2
40;"SamOO11";3;1;1;"Taipei";3;"2022-12-30";"2weeks";101;1
42;"SRFRF2";0;0;0;"";0;"";"";0;2
43;"SamOOOOX";0;0;0;"";0;"0000-00-00";"";0;2
44;"SamOOOXXX";0;0;0;"null";0;"0000-00-00";"null";0;2
45;"Satine";0;0;0;"";0;"0000-00-00";"";0;1
47;"隨便取一個";33;0;0;"新北市";0;"0000-00-00";"一年一次";0;1
48;"YA";40;1;0;"台北市松山區";0;"0000-00-00";"";0;1
49;"Enoch";43;1;3;"新北市板橋區";0;"0000-00-00";"";0;1
51;"eunice";6;0;0;"新北市三重區";0;"2023-01-13";"";0;1
52;"B";3;0;0;"";0;"0000-00-00";"";0;1
53;"Eric";6;1;3;"台北市";0;"0000-00-00";"";0;1
54;"qweqwe";0;1;0;"";0;"0000-00-00";"";0;2
55;"Genie";52;0;0;"台北市";0;"0000-00-00";"";0;1
56;"C.E.L";19;0;0;"台北市大安區";0;"0000-00-00";"";0;1
57;"Jessica";0;0;0;"台北市松山區";0;"0000-00-00";"";0;1
58;"Ellen";43;0;0;"台北市大安區";0;"0000-00-00";"";0;1
59;"angel";41;0;0;"宜蘭縣礁溪鄉";0;"0000-00-00";"";0;1
60;"Jui Chien";47;1;0;"台北市";0;"0000-00-00";"";0;2
61;"Cindy Cheng";45;0;0;"";0;"0000-00-00";"";0;1
62;"hsiung";45;0;4;"台北市文山區";0;"0000-00-00";"";0;2
63;"fanfan";0;0;0;"";0;"0000-00-00";"";0;1
64;"Jenny";54;0;4;"台北市大安區";1;"2023-01-26";"";130;1
65;"christu";49;0;0;"新北市新店區";0;"0000-00-00";"";0;1
66;"JazzTing";49;0;0;"台北市內湖區";0;"0000-00-00";"";0;1
67;"ElisaYen";48;0;0;"桃園市大園區";1;"2022-12-18";"1";120;1
68;"Angie";7;0;0;"台北市南港區";0;"0000-00-00";"";0;1
69;"Kevin";32;1;0;"桃園市龍潭區";0;"0000-00-00";"";0;1
70;"apple";50;0;0;"台北市松山區";0;"0000-00-00";"";0;1
71;"Vivi";43;0;4;"台北市大安區";0;"0000-00-00";"0";0;2
72;"Rex";50;1;3;"新北市淡水區";0;"";"";0;1
73;"May";32;1;0;"";0;"0000-00-00";"";0;1
74;"Lisa";48;0;0;"";0;"0000-00-00";"";0;1
75;"Sonia";62;0;0;"新北市板橋區";0;"0000-00-00";"";0;1
76;"Rita";0;0;0;"台北市大同區";0;"0000-00-00";"";0;1
77;"Sean";42;1;0;"";0;"0000-00-00";"";0;1
78;"patty";0;0;0;"";0;"0000-00-00";"";0;1
79;"Alice";32;0;4;"台北市大安區";0;"0000-00-00";"";0;1
80;"sean";38;1;3;"台北市松山區";1;"0000-00-00";"";0;1
81;"cleo";36;0;4;"台北市信義區";0;"0000-00-00";"";0;1
82;"vincentchen";45;1;3;"台北市中山區";1;"2022-12-25";"";120;1
83;"Harry";11;1;3;"台北市中山區";1;"2023-02-11";"";140;1
84;"isaac";28;1;0;"";0;"0000-00-00";"";0;1
85;"Michelle";55;0;0;"台北市大安區";4;"2023-01-01";"1";110;1
86;"Alvin";0;1;0;"新北市蘆洲區";0;"0000-00-00";"";0;1
87;"nadia";53;0;0;"台北市";0;"0000-00-00";"";0;1
88;"Tracy";38;0;0;"新北市永和區";0;"0000-00-00";"";0;1
89;"JACK";0;0;0;"";0;"0000-00-00";"";0;1
90;"Charlie";32;1;2;"基隆市中山區";0;"0000-00-00";"";0;1
91;"cyber";55;1;3;"台北市萬華區";0;"0000-00-00";"";0;1
92;"Jason";0;1;0;"";0;"0000-00-00";"";0;1
93;"SEAN";49;1;3;"台北市內湖區";1;"2023-02-04";"1";120;1
94;"qweqwe";0;1;0;"";0;"0000-00-00";"";0;2
95;"qweqwe1";33;0;0;"新北市";0;"0000-00-00";"一年一次";0;1
